file,path,triangles,vertices,watertight,euler_number,volume_m3,surface_area_m2,d_eq_m,bbox_x_m,bbox_y_m,bbox_z_m,obb_L_m,obb_B_m,obb_T_m,aspect_L_over_B,aspect_B_over_T,aspect_T_over_B,rectangularity_volume_over_obb,sphericity,solidity_volume_over_convex_hull,surface_area_over_hull_area,xy_footprint_hull_m2,bottom_vertices,bottom_vertex_fraction,bottom_footprint_hull_m2,bottom_area_triangles_m2,bottom_area_fraction_surface,bottom_footprint_fraction_xy,z_min_m,z_max_m
b02_Original.stl,models\bloques\b02_variantes_20260510\b02_Original.stl,2392,1198,True,2,8.284890198778001,31.834358727228445,2.5105143698731363,4.275982856750488,5.249095678329468,0.9985888954252005,6.393282581102088,6.359705847166607,1.1469903653458213,1.0052796048657566,5.544689859054862,0.1803527384614544,0.17765034602082086,0.6219839670595351,0.8309743498733637,0.9346089662961509,13.06544937112115,1,0.0008347245409015025,0.0,0.0,0.0,0.0,-0.01267704926431179,0.9859118461608887
b02_Reduccion_1.stl,models\bloques\b02_variantes_20260510\b02_Reduccion_1.stl,1974,989,True,2,8.287064296474822,31.569071246730324,2.510733951384965,4.102636814117432,4.991612911224365,0.998600086197257,5.000189217106509,4.140086425381436,1.0862870116351413,1.2077499605931126,3.8112270339581262,0.262382689640364,0.3685193318628937,0.6273204685481826,0.8510820061893328,0.9428455733631196,12.642564227037012,1,0.0010111223458038423,0.0,0.0,0.0,0.0,-0.014399489387869835,0.9842005968093872
b02_Reduccion_2.stl,models\bloques\b02_variantes_20260510\b02_Reduccion_2.stl,2116,1060,True,2,8.281249192812412,31.38354708475982,2.510146546162051,3.93450665473938,4.800579309463501,0.998600005172193,4.8466645327891555,3.9636990820886098,1.1975584782692825,1.222762987909587,3.3098167262921203,0.3021315325577762,0.35996103083289105,0.6307336465309611,0.8561361916953895,0.9431635670205286,12.279528427527374,2,0.0018867924528301887,0.0,0.0,0.0,0.0,-0.013648747466504574,0.9849512577056885
b02_Reduccion_3.stl,models\bloques\b02_variantes_20260510\b02_Reduccion_3.stl,2302,1153,True,2,8.285295091391829,31.57975164900561,2.5105552664990953,3.7670273780822754,4.761062145233154,0.9985998868942261,4.8189870197751405,3.7961832531868374,1.1867841538706472,1.269429502838061,3.1987141392187817,0.3126256228211218,0.3816219238591399,0.6270190487808343,0.8549646474689326,0.9443221849755491,12.039551320817468,1,0.0008673026886383347,0.0,0.0,0.0,0.0,-0.023347139358520508,0.9752527475357056
b02_Reduccion_4.stl,models\bloques\b02_variantes_20260510\b02_Reduccion_4.stl,1846,925,True,2,8.283256535998836,31.285264935247003,2.51034934642327,3.614948868751526,4.386756896972656,0.9986000172793865,4.4813575507038435,3.665164701011183,1.1842672476517042,1.222689269452879,3.0948797311408183,0.3231143329861756,0.4258418129236458,0.632817327011124,0.8615013002741565,0.9484161437706461,11.7746879284701,1,0.001081081081081081,0.0,0.0,0.0,0.0,-0.02357776090502739,0.9750222563743591
b02_Reduccion_5.stl,models\bloques\b02_variantes_20260510\b02_Reduccion_5.stl,1522,763,True,2,8.28274971998401,31.511187558186627,2.5102981463026635,3.431300163269043,4.190978765487671,0.9986001383513212,4.240470959303143,3.4313022201693233,1.055426244617468,1.235819723012883,3.2511056434956997,0.3075876669835822,0.5393536034152382,0.6282546515849466,0.8857749561006387,0.9676098329368695,11.330753964016248,2,0.002621231979030144,0.0,0.0,0.0,0.0,-0.003766430541872978,0.9948337078094482
b02_Reduccion_6.stl,models\bloques\b02_variantes_20260510\b02_Reduccion_6.stl,2520,1262,True,2,8.281222348911747,30.91347934979362,2.5101438339223963,3.2243000268936157,3.938520908355713,0.9985998701304197,3.960533871516608,3.2256547202901737,1.0083714525184864,1.2278232529364848,3.198875486046188,0.3126098544198107,0.6428391137341011,0.6403231449043816,0.8998094128560518,0.9742757451822763,10.851019259483161,3,0.002377179080824089,0.00837526374047736,0.008376233745955959,0.0002709573274226694,0.0007718412012915622,-0.013651950284838676,0.984947919845581
b02_Reduccion_7.stl,models\bloques\b02_variantes_20260510\b02_Reduccion_7.stl,1970,987,True,2,8.284340045576151,29.617500650748024,2.510458798905639,2.983985185623169,3.643495798110962,0.9986001010984182,3.6643502694546486,2.988872077227479,1.0108362878130719,1.225997692364858,2.9568310054379388,0.3381999167895932,0.7482948986659138,0.6685096219021311,0.9434399482944558,0.9846297603441954,10.150113802512026,2,0.002026342451874367,0.0,0.0,0.0,0.0,-0.014356767758727074,0.9842433333396912
b02_Reduccion_8.stl,models\bloques\b02_variantes_20260510\b02_Reduccion_8.stl,1754,879,True,2,8.281683749739186,29.60875415730972,2.510190451876601,2.8241392374038696,3.4416704177856445,0.9985999064520001,3.464932074996823,2.834825080099159,1.019394724260611,1.222273677244179,2.780890476115931,0.35959704583428964,0.8270947590515936,0.6685641504261642,0.9673286374976148,0.9983797837035097,9.59435024353138,3,0.0034129692832764505,0.004971353022046961,0.004971804826689617,0.000167916718152837,0.0005181542153309135,-0.013371487148106098,0.985228419303894
b02_Reduccion_9.stl,models\bloques\b02_variantes_20260510\b02_Reduccion_9.stl,2206,1105,True,2,8.281052125899137,28.876871590260812,2.510126634884413,2.738617181777954,3.3399529457092285,0.9986001206561923,3.355378320195571,2.7410896181975257,1.0119108568167858,1.2241038373644955,2.708825189226941,0.369163726023009,0.8897715882981728,0.6854740132845305,0.9798638005567456,0.9940629601945117,9.138189052922412,5,0.004524886877828055,0.09671129114730846,0.016006729228726806,0.0005543096723166276,0.010583200958879263,-0.014127547852694988,0.9844725728034973
