file,triangles,watertight,scale_applied,volume_raw_units3,volume_m3_scaled,d_eq_m_scaled,surface_area_m2_scaled,obb_L_m_scaled,obb_B_m_scaled,obb_T_m_scaled,aspect_L_over_B,aspect_T_over_B,sphericity,solidity_volume_over_convex_hull,xy_footprint_area_m2,bottom_band_height_m,bottom_band_vertex_count,bottom_band_xy_area_m2,bottom_band_fraction_xy,bottom_band_z_std_m,bottom_band_z_range_m,bottom_1mm_xy_area_m2,bottom_1mm_fraction_xy,volume_m3_scaled_rel_original,d_eq_m_scaled_rel_original,obb_L_m_scaled_rel_original,obb_B_m_scaled_rel_original,obb_T_m_scaled_rel_original,aspect_L_over_B_rel_original,aspect_T_over_B_rel_original,sphericity_rel_original,solidity_volume_over_convex_hull_rel_original,bottom_band_fraction_xy_rel_original
b02_Original.stl,2392,True,0.04,8.284890198778001,0.0005302329727217921,0.10042057479492547,0.050934973963565514,0.2557313032440836,0.2543882338866643,0.04587961461383287,1.0052796048657566,0.18035273846145444,0.6219839670595353,0.8309743498733637,0.020904718672438254,0.001997177790850401,40,0.0013010798455860499,0.06223857235167932,0.00045992068811389405,0.001981668844819069,0.00012560085167074997,0.006008253621530336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
b02_Reduccion_1.stl,1974,True,0.04,8.287064296474822,0.0005303721149743887,0.10042935805539863,0.050510513994768524,0.20000756868426037,0.16560345701525742,0.04345148046540576,1.2077499605931126,0.2623826896403647,0.6273204685481827,0.8510820061893327,0.02022810288037191,0.0019972001723945142,56,0.0036738243519605493,0.18161981742367939,0.00047181634968251364,0.0019489992409944534,0.0002485698732349998,0.01228834333625011,1.0002624172010322,1.0000874647500384,0.7821004552319607,0.6509870935659606,0.9470759689490719,1.2014070063168083,1.454830638440469,1.0085798055436639,1.024197685908155,2.9181231278480464
b02_Reduccion_2.stl,2116,True,0.04,8.281249192812412,0.0005299999483399945,0.10040586184648206,0.050213675335615715,0.19386658131156603,0.15854796328354437,0.04790233913077085,1.2227629879095858,0.3021315325577734,0.6307336465309613,0.8561361916953892,0.019647244272679,0.001997200010344386,72,0.0038663983545472506,0.19679087310599452,0.00046796427789357845,0.001995452903211117,0.0004955323319329504,0.025221467451393486,0.9995605245358443,0.99985348671352,0.7580870188837595,0.6232519517949916,1.0440876527399625,1.2163411870599639,1.6752256446737899,1.0140673714031418,1.0302799259999542,3.1618796137229315
b02_Reduccion_3.stl,2302,True,0.04,8.285295091391829,0.0005302588858490772,0.10042221065996383,0.05052760263840897,0.19275948079100563,0.15184733012747353,0.04747136615482635,1.2694295028380609,0.3126256228211247,0.6270190487808345,0.8549646474689327,0.019263281677073096,0.0019971997737884524,59,0.0023015159889928994,0.11947683824465555,0.0004542079508007936,0.0019934833049774173,0.0003476155211723502,0.01804549852926034,1.0000488712106155,1.0000162901381684,0.7537578636082173,0.5969117667412438,1.0346940913604266,1.262762615190605,1.7334121205370001,1.0080951953554411,1.0288700819697083,1.9196590431019396
b02_Reduccion_4.stl,1846,True,0.04,8.283256535998836,0.0005301284183039256,0.10041397385693082,0.05005642389639521,0.1792543020281538,0.14660658804044732,0.0473706899060687,1.2226892694528795,0.32311433298617925,0.6328173270111241,0.8615013002741564,0.01883950099948795,0.001997200034558773,79,0.009786233045695201,0.5194528796681603,0.0004804817366710761,0.00199398435652256,0.0006324507995571002,0.03357046450297649,0.9998028141906571,0.9999342670761632,0.7009478298284975,0.576310412633958,1.0324997344634683,1.216267855763527,1.7915687654237435,1.0174174263732298,1.0367363329631591,8.346156732725
b02_Reduccion_5.stl,1522,True,0.04,8.28274971998401,0.0005300959820789767,0.10041192585210656,0.05041790009309861,0.16961883837212566,0.13725208880677287,0.04221704978469868,1.235819723012883,0.30758766698358203,0.628254651584947,0.8857749561006387,0.018129205445173553,0.0019972002767026423,123,0.013213059041623601,0.7288272550930381,0.0004942255880841535,0.001990683302283287,0.00522850097190995,0.2884021027684866,0.9997416406563474,0.9999138728011011,0.6632697531370745,0.5395378815669665,0.9201701047412478,1.229329349796082,1.705478217894211,1.0100817462467027,1.0659474100922928,11.710218077863301
b02_Reduccion_6.stl,2520,True,0.04,8.281222348911747,0.0005299982303303519,0.10040575335689587,0.04946156695966979,0.1584213548606643,0.1290261888116068,0.04033485810073942,1.227823252936486,0.31260985441981076,0.6403231449043819,0.8998094128560516,0.017361631544220605,0.0019971997402608395,216,0.01349591706948065,0.7773415208764302,0.0004922054574343215,0.0019832438975572585,0.005553521833278999,0.31987326877281147,0.9995572844324727,0.9998524063613471,0.6194836253951223,0.5072018734525704,0.8791455298880891,1.2213748761972025,1.733324689642141,1.0294849687710539,1.0828365676909018,12.489706808891095
b02_Reduccion_7.stl,1970,True,0.04,8.284340045576151,0.0005301977629168737,0.10041835195622556,0.04738800104119684,0.14657401077818524,0.119554883089099,0.04043345151252239,1.2259976923648537,0.33819991678958955,0.6685096219021315,0.9434399482944557,0.01624018255286665,0.0019972002021968363,280,0.01488978509316025,0.9168483817647706,0.0004793619581114398,0.0019961918145418164,0.0073747816551262505,0.45410706629184316,0.9999335955952765,0.9999778647084578,0.5731563125781562,0.4699701761456601,0.8812944889108016,1.2195589032452034,1.8752136489564348,1.0748020163004344,1.1353418411028344,14.731192363862636
b02_Reduccion_8.stl,1754,True,0.04,8.281683749739186,0.0005300277599833079,0.10040761807506407,0.047374006651695555,0.1385972829998724,0.11339300320396607,0.040775788970422604,1.2222736772441773,0.3595970458342743,0.6685641504261646,0.9673286374976148,0.015350960256161898,0.0019971998129040005,244,0.014949053192430803,0.9738187672285993,0.000469065688995311,0.001996869035065174,0.00819630784192275,0.5339280217752332,0.999612976278275,0.9998709754461388,0.541964480850386,0.4457478298877817,0.8887561352385152,1.2158544461939997,1.9938540933833868,1.0748896849975729,1.1640896468645883,15.64654731676736
b02_Reduccion_9.stl,2206,True,0.04,8.281052125899137,0.0005299873360575447,0.10040506539537654,0.0462029945444173,0.13421513280782194,0.10964358472790094,0.04047643427266996,1.2241038373644884,0.3691637260229959,0.685474013284531,0.9798638005567456,0.014621102871172199,0.0019972002413123848,339,0.01436822080623695,0.9827043098483462,0.00035322927254845336,0.001603781618177891,0.01118589112261245,0.7650511196844932,0.9995367382322785,0.9998455555589021,0.5248287210256769,0.43100886803101757,0.8822313485707913,1.217674994538413,2.0468983680106123,1.1020766604726944,1.1791745445645487,15.78931316572577
