case_id,dam_h,mass,rot_z,friction,slope_inv,dp,max_disp_mm,max_rot_deg,max_vel_mps,flow_vel_mps,water_h_m,sph_force_N,contact_force_N,sim_time_s,n_timesteps,estado
sc2_013,0.2,1.0,0.0,0.8,20.0,0.004,1.57,7.1,0.0887,0.0,0.126,14.39,2373.54,10.0,9500,ESTABLE
sc2_005,0.25,1.4,45.0,0.6,25.0,0.004,1.82,3.2,0.1001,0.0,0.1128,8.06,5209.98,10.0,9500,ESTABLE
sc2_008,0.1,1.6,80.0,0.8,30.0,0.004,1.93,2.5,0.1,0.0,0.0777,2.58,13421.13,10.0,9500,ESTABLE
sc2_015,0.145,0.949,56.6,0.564,28.0,0.004,2.11,2.5,0.1049,0.0,0.0958,4.21,2249.95,10.0,9500,ESTABLE
sc2_003,0.2,1.2,60.0,0.5,20.0,0.004,2.17,5.0,0.1175,0.0,0.1263,5.82,3259.53,10.0,9500,ESTABLE
sc2_010,0.2,1.0,0.0,0.3,5.0,0.004,133.5,47.5,0.2309,0.1085,0.0,12.28,2321.44,10.0,9500,FALLO
sc2_001,0.15,1.0,0.0,0.3,20.0,0.004,181.63,20.7,0.1239,1.2804,0.1194,9.51,3885.3,10.0,9500,FALLO
sc2_004,0.22,1.0,15.0,0.4,15.0,0.004,480.53,44.5,0.3838,1.9914,0.1677,9.75,5124.19,10.0,9500,FALLO
sc2_014,0.2,1.0,90.0,0.3,20.0,0.004,786.83,32.2,0.5086,1.8585,0.1258,10.09,2765.47,10.0,9500,FALLO
sc2_006,0.2,0.85,75.0,0.15,10.0,0.004,1094.35,183.6,0.9395,1.7057,0.2158,8.24,25403.67,10.0,9500,FALLO
sc2_007,0.12,0.8,0.0,0.1,20.0,0.004,1097.3,70.6,0.5897,1.1251,0.1137,6.76,5117.73,10.0,9500,FALLO
sc2_011,0.2,1.0,0.0,0.3,30.0,0.004,1132.41,38.9,0.5105,1.9152,0.1187,12.41,2627.62,10.0,9500,FALLO
sc2_002,0.18,0.9,30.0,0.2,20.0,0.004,1326.81,112.9,0.5124,1.6805,0.1345,5.33,4952.76,10.0,9500,FALLO
sc2_009,0.15,0.8,50.0,0.1,28.0,0.004,2341.56,97.1,0.7673,1.4705,0.0936,2.9,3629.63,10.0,9500,FALLO
sc2_012,0.2,1.0,0.0,0.1,20.0,0.004,2767.91,65.6,0.8795,1.8547,0.1302,15.14,2306.99,10.0,9500,FALLO
