case_name,max_displacement,max_displacement_rel,max_rotation,max_velocity,max_sph_force,max_contact_force,max_flow_velocity,max_water_height,moved,rotated,failed,sim_time_reached,n_timesteps,dam_height,boulder_mass,boulder_rot_z,dp,stl_file
lhs_001,3.3280485816918293,3314.110269223439,180.8450189678201,1.0695444122115734,19.43488135116397,325.80124308420005,1.5289207131732052,0.157568,1,1,1,9.999006,9500,0.2938,1.385,23.6545,0.004,BLIR3.stl
lhs_002,5.669633504717037,5645.888321487221,118.76636051901042,1.581523846200556,25.71735424001872,201.4015494460857,2.0305397201078343,0.157915,1,1,1,9.999008,9500,0.3664,0.9905,41.4439,0.004,BLIR3.stl
lhs_003,3.0370166797153093,3024.2972477675744,158.8801712638027,1.0502882243108316,13.879241263745689,1704.551792623046,0.8675079934560963,0.155803,1,1,1,9.999031,9500,0.2459,1.0114,37.5694,0.004,BLIR3.stl
lhs_004,0.806749769825811,803.3709939156596,44.39091201685858,0.942132,12.64911040154943,2733.8133704302936,0.3337210987216517,0.145046,1,1,1,9.999017,9500,0.1364,0.8901,0.1318,0.004,BLIR3.stl
lhs_005,5.780120755165329,5755.912836556891,137.26955126874736,1.7747150190540453,34.14772378083027,402.0293618986335,2.2635176720802033,0.162774,1,1,1,9.999016,9500,0.4068,1.3308,69.4019,0.004,BLIR3.stl
lhs_006,6.394569389584336,6367.788077934275,272.08781557876983,2.395048339919677,77.90642610586177,767.2094038572586,2.5752352615985172,0.272527,1,1,1,9.999018,9500,0.4582,1.1111,73.6851,0.004,BLIR3.stl
lhs_007,1.869711508388659,1861.8809065840367,150.59598890727074,0.961554,11.985818645774764,1126.0925950450787,0.4417387233822573,0.145375,1,1,1,9.999004,9500,0.1814,0.8059,50.8354,0.004,BLIR3.stl
lhs_008,1.1207315636748176,1116.0377900281162,124.7811900579279,0.961539,21.062014938225072,16008.838799416402,0.8632027856865384,0.161305,1,1,1,9.999024,9500,0.2012,1.4405,64.9924,0.004,BLIR3.stl
lhs_009,6.399593123438006,6372.79077171882,360.53317653926024,2.4350813345342286,91.0822064080872,2846.4829882638046,2.749258311663156,0.265264,1,1,1,9.999023,9500,0.4938,1.4369,76.5599,0.004,BLIR3.stl
lhs_010,0.050040382472559215,49.830806659640714,23.477493038095442,0.951918,17.142963508669467,109.22411208589841,0.0002929074677534953,0.10928,1,1,1,9.99904,9500,0.1076,1.2935,88.7705,0.004,BLIR3.stl
lhs_011,5.052205487880912,5031.046175744668,181.98725047030098,1.2872142361848706,20.049539431336697,349.3320761267136,1.7665695833429247,0.328323,1,1,1,9.999011,9500,0.326,1.0565,4.8135,0.004,BLIR3.stl
lhs_012,6.033254974253036,6007.986895687351,157.49654811099174,1.9721470203384939,42.306394757063615,524.8143232744991,2.6396894108377866,0.261383,1,1,1,9.999007,9500,0.473,1.4165,60.859,0.004,BLIR3.stl
lhs_013,1.8264845441245867,1818.8349826263732,102.45842658684867,0.961658,21.683382739463088,557.3151087295947,1.0678612658323179,0.164305,1,1,1,9.999001,9500,0.235,1.4964,71.5916,0.004,BLIR3.stl
lhs_014,2.5885951386551356,2577.753756081811,168.21906637491605,0.951767,13.04395346503332,2385.7733220440286,0.6666274857769611,0.152557,1,1,1,9.999012,9500,0.2226,0.921,27.3012,0.004,BLIR3.stl
lhs_015,6.398225458569195,6371.428834813357,253.290055351666,2.4869247618810264,45.78169846016419,313.5352226765569,2.5889525450438793,0.232097,1,1,1,9.999014,9500,0.4624,0.827,66.9019,0.004,BLIR3.stl
