case_name,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,moved,rotated,max_displacement_m,disp_mm,disp_pct_deq,margin_mm,margin_pct_deq,max_rotation,max_velocity,max_sph_force,max_contact_force,max_flow_velocity,max_water_height
al2_lowH_m085_mu0585,0.003,0.175,0.85,0.0,0.585,20.0,displacement_only,0.500003,ESTABLE,0,0,0.001478604071413395,1.478604071413395,1.4724052453305536,3.542445928586605,3.5275947546694466,4.85758608004276,0.09999768094310987,8.760070357292857,24317.59570495383,0.7290810842148698,0.0658005
al2_base_m085_mu0820,0.003,0.2,0.85,0.0,0.82,20.0,displacement_only,0.500009,ESTABLE,0,0,0.0022893092844784822,2.2893092844784824,2.2797116982289385,2.7317407155215174,2.7202883017710615,4.872577971080158,0.10024240584203874,8.450824907893963,9082.027699190197,0.7474536599321994,0.0678947
al2_base_m085_mu0860,0.003,0.2,0.85,0.0,0.86,20.0,displacement_only,0.500009,ESTABLE,0,0,0.0014495378573879639,1.4495378573879638,1.4434608870534689,3.571512142612036,3.556539112946531,4.778049562346237,0.10010941677984143,9.584870465073799,9108.008388779845,0.7605465215787395,0.0685117
al2_midH_m085_mu0880,0.003,0.21,0.85,0.0,0.88,20.0,displacement_only,0.500012,FALLO,1,1,0.005213960203146952,5.213960203146952,5.192101456017119,-0.19291020314695206,-0.19210145601711925,5.6085588028254465,0.10005079055159935,9.005815962521163,6662.254529150939,0.8679049383565669,0.0698217
al2_highH_m085_mu0880,0.003,0.225,0.85,0.0,0.88,20.0,displacement_only,0.500001,FALLO,1,1,0.05377353011473232,53.773530114732324,53.548092644698144,-48.75248011473232,-48.548092644698144,12.489475257462699,0.10002959978426385,9.719318139663091,59919.35878067976,0.8245428763830296,0.0728153
al2_midH_m100_mu0770,0.003,0.21,1.0,0.0,0.77,20.0,displacement_only,0.500012,ESTABLE,0,1,0.004330349293070632,4.330349293070632,4.312194952321359,0.690700706929368,0.6878050476786406,5.556227995862704,0.10032046853957571,8.95477380133323,7790.957162151067,0.8673254506392049,0.0691321
al2_highH_m100_mu0880,0.003,0.225,1.0,0.0,0.88,20.0,displacement_only,0.500001,ESTABLE,0,0,0.003327364272212897,3.327364272212897,3.313414795922065,1.693685727787103,1.686585204077935,4.758184116065739,0.10002865038577698,9.936924125619004,70493.39822318817,0.9621491065006296,0.0709435
al2_highH_m115_mu0700,0.003,0.225,1.15,0.0,0.7,20.0,displacement_only,0.500001,FALLO,1,1,0.022412458276592096,22.412458276592098,22.318497402527456,-17.3914082765921,-17.318497402527456,7.904021738785348,0.10003824541644062,10.384083925744244,81021.80705284368,0.84986277177745,0.0721104
al2_highH_m115_mu0740,0.003,0.225,1.15,0.0,0.74,20.0,displacement_only,0.500001,FALLO,1,1,0.006747627805384519,6.747627805384519,6.719339386567072,-1.7265778053845189,-1.7193393865670723,5.9315724706067305,0.10017773363377712,10.289588260967928,80739.52509825531,0.9814890184446334,0.0716852
al2_highH_m125_mu0660,0.003,0.225,1.25,0.0,0.66,20.0,displacement_only,0.500001,FALLO,1,1,0.01640679435477904,16.406794354779038,16.33801132709198,-11.385744354779039,-11.33801132709198,7.12276214802256,0.09999558361247761,9.92960355671489,88583.854037663,0.8865748880738784,0.0713931
