case_id,status,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,moved,rotated,max_displacement_m,disp_pct_deq,disp_margin_pct,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,sim_time_reached_s,n_timesteps,tiempo_min,n_particles,mem_gpu_mb,hardware,output_path,quality_flags
batch3_base_mu0678,OK,0.003,0.2,1.0,0.0,0.678,20.0,displacement_only,0.500009,FALLO,True,True,0.006562453047450716,6.534968616593035,1.5349686165930354,5.563638956052998,0.09999668220496118,8.78614783433451,10761.454118910693,0.7301260267114184,0.0683093,9.99901,9500,253.36031901666666,17525854,3338.452796936035,"Gpu_0=""NVIDIA GeForce RTX 5090""",C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_base_mu0678,rotation_diagnostic_only
batch3_base_mu0680,OK,0.003,0.2,1.0,0.0,0.68,20.0,displacement_only,0.500009,FALLO,True,True,0.008121461075446706,8.08744731050584,3.0874473105058406,5.864659461299195,0.09999668220496118,8.37318304000032,10755.302259345484,0.7599104895518485,0.068941,9.999014,9500,252.6423177,17525854,3338.452796936035,"Gpu_0=""NVIDIA GeForce RTX 5090""",C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_base_mu0680,rotation_diagnostic_only
batch3_base_mu0682,OK,0.003,0.2,1.0,0.0,0.682,20.0,displacement_only,0.500009,ESTABLE,False,True,0.004268377326338332,4.250500791351798,-0.749499208648202,5.332698290134056,0.09999872962193071,10.486210119261582,10750.352411514818,0.7516506483811556,0.0678944,9.99902,9500,253.16829426666666,17525854,3338.452796936035,"Gpu_0=""NVIDIA GeForce RTX 5090""",C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_base_mu0682,rotation_diagnostic_only
batch3_lowH_mu0600,OK,0.003,0.175,1.0,0.0,0.6,20.0,displacement_only,0.500003,ESTABLE,False,False,0.0012374477766758543,1.2322651799224573,-3.7677348200775427,4.823487100363921,0.09999558362747826,8.773712172337602,28587.38480737096,0.6842668316708329,0.066937,9.999008,9500,213.68997396666666,16031854,3070.0230407714844,"Gpu_0=""NVIDIA GeForce RTX 5090""",C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_lowH_mu0600,
batch3_lowH_mu0640,OK,0.003,0.175,1.0,0.0,0.64,20.0,displacement_only,0.500003,ESTABLE,False,False,0.0012374946464530584,1.2323118534027673,-3.7676881465972327,4.939401915083683,0.0999956335346699,8.779234702552381,28525.445575361817,0.7453660133625359,0.0663773,9.999009,9500,214.1163737,16031854,3070.0230407714844,"Gpu_0=""NVIDIA GeForce RTX 5090""",C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_lowH_mu0640,
batch3_lowH_mu0660,OK,0.003,0.175,1.0,0.0,0.66,20.0,displacement_only,0.500003,ESTABLE,False,False,0.0012376473649630564,1.232463932307225,-3.7675360676927747,4.5307031224669325,0.09999458485838121,8.803778414154005,28412.417943449884,0.7265542056488146,0.0660636,9.999023,9500,210.55159505,16031854,3070.111618041992,"Gpu_0=""NVIDIA GeForce RTX 5090""",C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_lowH_mu0660,
batch3_highH_mu0760,OK,0.003,0.225,1.0,0.0,0.76,20.0,displacement_only,0.500001,FALLO,True,True,0.044964650671388655,44.77633270195227,39.77633270195227,11.153884204480843,0.1002687840805901,9.382626022125201,70106.99358662817,0.9297746690414888,0.0730931,9.999009,9500,294.3225260333333,18853854,3577.782516479492,"Gpu_0=""NVIDIA GeForce RTX 5090""",C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_highH_mu0760,rotation_diagnostic_only
batch3_highH_mu0800,OK,0.003,0.225,1.0,0.0,0.8,20.0,displacement_only,0.500001,FALLO,True,True,0.025834868782326256,25.726668897369986,20.726668897369986,8.563652596578885,0.10029607762519928,9.999198628777009,70091.93643270886,0.8809587924147889,0.0722208,9.999002,9500,292.5385416666667,18853854,3577.6900024414062,"Gpu_0=""NVIDIA GeForce RTX 5090""",C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_highH_mu0800,rotation_diagnostic_only
batch3_midH_mu0700,OK,0.003,0.21,1.0,0.0,0.7,20.0,displacement_only,0.500012,FALLO,True,True,0.02405383233499389,23.9530916688294,18.9530916688294,8.270054106671035,0.10006657352482896,8.833249505838495,7833.597909995608,0.8700265850997773,0.0698018,9.999009,9500,267.00084635,18023854,3426.3573150634766,"Gpu_0=""NVIDIA GeForce RTX 5090""",C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_midH_mu0700,rotation_diagnostic_only
batch3_midH_mu0740,OK,0.003,0.21,1.0,0.0,0.74,20.0,displacement_only,0.500012,FALLO,True,True,0.008592514067489213,8.556527469631071,3.556527469631071,6.269481206197968,0.10020719739120539,9.00030504025108,7806.279975346846,0.8680923218446066,0.0695065,9.999006,9500,268.88190103333335,18023854,3426.2667694091797,"Gpu_0=""NVIDIA GeForce RTX 5090""",C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_midH_mu0740,rotation_diagnostic_only
